year,mode_of_transport,travel_time,sex,count
2020,  Private Chartered Bus/Van Only,  Up To 15,male,5419
2020,  Lorry/Pickup Only,  Up To 15,male,262
2020,  Motorcycle/Scooter Only,  Up To 15,male,814
2020,  Others,  Up To 15,male,2169
2020,  No Transport Required,  Up To 15,male,73659
2020,  Public Bus Only,  16 - 30,male,37073
2020,  MRT Only,  16 - 30,male,8632
2020,  MRT & Public Bus Only,  16 - 30,male,15976
2020,  Other combinations of MRT/LRT or Public Bus,  16 - 30,male,2642
2020,  Taxi Only,  16 - 30,male,1078
2020,  Car Only,  16 - 30,male,18316
2020,  Private Chartered Bus/Van Only,  16 - 30,male,10309
2020,  Lorry/Pickup Only,  16 - 30,male,194
2020,  Motorcycle/Scooter Only,  16 - 30,male,1281
2020,  Others,  16 - 30,male,854
2020,  No Transport Required,  16 - 30,male,8217
2020,  Public Bus Only,  31 - 45,male,14228
2020,  MRT Only,  31 - 45,male,6336
2020,  MRT & Public Bus Only,  31 - 45,male,21319
2020,  Other combinations of MRT/LRT or Public Bus,  31 - 45,male,2117
2020,  Taxi Only,  31 - 45,male,207
2020,  Car Only,  31 - 45,male,2796
2020,  Private Chartered Bus/Van Only,  31 - 45,male,3698
2020,  Lorry/Pickup Only,  31 - 45,male,0
2020,  Motorcycle/Scooter Only,  31 - 45,male,404
2020,  Others,  31 - 45,male,91
2020,  No Transport Required,  31 - 45,male,35
2020,  Public Bus Only,  46 - 60,male,7954
2020,  MRT Only,  46 - 60,male,6420
2020,  MRT & Public Bus Only,  46 - 60,male,25349
2020,  Other combinations of MRT/LRT or Public Bus,  46 - 60,male,2192
2020,  Taxi Only,  46 - 60,male,90
2020,  Car Only,  46 - 60,male,507
2020,  Private Chartered Bus/Van Only,  46 - 60,male,2306
2020,  Lorry/Pickup Only,  46 - 60,male,0
2020,  Motorcycle/Scooter Only,  46 - 60,male,84
2020,  Others,  46 - 60,male,76
2020,  No Transport Required,  46 - 60,male,51
2020,  Public Bus Only,  More Than 60,male,2635
2020,  MRT Only,  More Than 60,male,2641
2020,  MRT & Public Bus Only,  More Than 60,male,16763
2020,  Other combinations of MRT/LRT or Public Bus,  More Than 60,male,1357
2020,  Taxi Only,  More Than 60,male,0
2020,  Car Only,  More Than 60,male,86
2020,  Private Chartered Bus/Van Only,  More Than 60,male,603
2020,  Lorry/Pickup Only,  More Than 60,male,0
2020,  Motorcycle/Scooter Only,  More Than 60,male,0
2020,  Others,  More Than 60,male,30
2020,  No Transport Required,  More Than 60,male,27
2010,  Public Bus Only,  Up To 15,all,46341
2010,  MRT Only,  Up To 15,all,4345
2010,  MRT & Public Bus Only,  Up To 15,all,2610
2010,  Other combinations of MRT/LRT or Public Bus,  Up To 15,all,353
2010,  Taxi Only,  Up To 15,all,1011
2010,  Car Only,  Up To 15,all,50914
2010,  Private Chartered Bus/Van Only,  Up To 15,all,25299
2010,  Lorry/Pickup Only,  Up To 15,all,1486
2010,  Motorcycle/Scooter Only,  Up To 15,all,1447
2010,  Others,  Up To 15,all,14510
2010,  No Transport Required,  Up To 15,all,188081
2010,  Public Bus Only,  16 - 30,all,91677
2010,  MRT Only,  16 - 30,all,16233
2010,  MRT & Public Bus Only,  16 - 30,all,24679
2010,  Other combinations of MRT/LRT or Public Bus,  16 - 30,all,1857
2010,  Taxi Only,  16 - 30,all,611
2010,  Car Only,  16 - 30,all,32654
2010,  Private Chartered Bus/Van Only,  16 - 30,all,32671
2010,  Lorry/Pickup Only,  16 - 30,all,656
2010,  Motorcycle/Scooter Only,  16 - 30,all,1661
2010,  Others,  16 - 30,all,16132
2010,  No Transport Required,  16 - 30,all,16708
2010,  Public Bus Only,  31 - 45,all,34412
2010,  MRT Only,  31 - 45,all,11556
2010,  MRT & Public Bus Only,  31 - 45,all,27313
2010,  Other combinations of MRT/LRT or Public Bus,  31 - 45,all,1458
2010,  Taxi Only,  31 - 45,all,83
2010,  Car Only,  31 - 45,all,4532
2010,  Private Chartered Bus/Van Only,  31 - 45,all,10093
2010,  Lorry/Pickup Only,  31 - 45,all,103
2010,  Motorcycle/Scooter Only,  31 - 45,all,390
2010,  Others,  31 - 45,all,6404
2010,  No Transport Required,  31 - 45,all,166
2010,  Public Bus Only,  46 - 60,all,26334
2010,  MRT Only,  46 - 60,all,10027
2010,  MRT & Public Bus Only,  46 - 60,all,33435
