year,mode_of_transport,education_level,sex,count
2020,  MRT/LRT & Public Bus Only,Secondary,female,19478
2020,  Other combinations of MRT/LRT or Public Bus,Secondary,female,2633
2020,  Taxi/Private Hire Car Only,Secondary,female,578
2020,  Car Only,Secondary,female,11403
2020,  Private Chartered Bus/Van Only,Secondary,female,2054
2020,  Lorry/Pickup Only,Secondary,female,137
2020,  Motorcycle/Scooter Only,Secondary,female,102
2020,  Others,Secondary,female,236
2020,  No Transport Required,Secondary,female,12194
2020,  Public Bus Only,Post-Secondary (Non-tertiary),female,6323
2020,  MRT/LRT Only,Post-Secondary (Non-tertiary),female,2968
2020,  MRT/LRT & Public Bus Only,Post-Secondary (Non-tertiary),female,11826
2020,  Other combinations of MRT/LRT or Public Bus,Post-Secondary (Non-tertiary),female,1540
2020,  Taxi/Private Hire Car Only,Post-Secondary (Non-tertiary),female,82
2020,  Car Only,Post-Secondary (Non-tertiary),female,2547
2020,  Private Chartered Bus/Van Only,Post-Secondary (Non-tertiary),female,258
2020,  Lorry/Pickup Only,Post-Secondary (Non-tertiary),female,0
2020,  Motorcycle/Scooter Only,Post-Secondary (Non-tertiary),female,11
2020,  Others,Post-Secondary (Non-tertiary),female,62
2020,  No Transport Required,Post-Secondary (Non-tertiary),female,824
2020,  Public Bus Only,Polytechnic,female,8933
2020,  MRT/LRT Only,Polytechnic,female,5037
2020,  MRT/LRT & Public Bus Only,Polytechnic,female,17702
2020,  Other combinations of MRT/LRT or Public Bus,Polytechnic,female,1193
2020,  Taxi/Private Hire Car Only,Polytechnic,female,67
2020,  Car Only,Polytechnic,female,501
2020,  Private Chartered Bus/Van Only,Polytechnic,female,34
2020,  Lorry/Pickup Only,Polytechnic,female,17
2020,  Motorcycle/Scooter Only,Polytechnic,female,103
2020,  Others,Polytechnic,female,41
2020,  No Transport Required,Polytechnic,female,1199
2020,  Public Bus Only,Professional Qualification And Other Diploma,female,1148
2020,  MRT/LRT Only,Professional Qualification And Other Diploma,female,1086
2020,  MRT/LRT & Public Bus Only,Professional Qualification And Other Diploma,female,2939
2020,  Other combinations of MRT/LRT or Public Bus,Professional Qualification And Other Diploma,female,173
2020,  Taxi/Private Hire Car Only,Professional Qualification And Other Diploma,female,68
2020,  Car Only,Professional Qualification And Other Diploma,female,176
2020,  Private Chartered Bus/Van Only,Professional Qualification And Other Diploma,female,9
2020,  Lorry/Pickup Only,Professional Qualification And Other Diploma,female,13
2020,  Motorcycle/Scooter Only,Professional Qualification And Other Diploma,female,14
2020,  Others,Professional Qualification And Other Diploma,female,10
2020,  No Transport Required,Professional Qualification And Other Diploma,female,498
2020,  Public Bus Only,University,female,7966
2020,  MRT/LRT Only,University,female,7677
2020,  MRT/LRT & Public Bus Only,University,female,28220
2020,  Other combinations of MRT/LRT or Public Bus,University,female,2172
2020,  Taxi/Private Hire Car Only,University,female,429
2020,  Car Only,University,female,2543
2020,  Private Chartered Bus/Van Only,University,female,128
2020,  Lorry/Pickup Only,University,female,0
2020,  Motorcycle/Scooter Only,University,female,34
2020,  Others,University,female,151
2020,  No Transport Required,University,female,4919
2020,  Public Bus Only,Pre-Primary,male,3167
2020,  MRT/LRT Only,Pre-Primary,male,315
2020,  MRT/LRT & Public Bus Only,Pre-Primary,male,575
2020,  Other combinations of MRT/LRT or Public Bus,Pre-Primary,male,245
2020,  Taxi/Private Hire Car Only,Pre-Primary,male,366
2020,  Car Only,Pre-Primary,male,6340
2020,  Private Chartered Bus/Van Only,Pre-Primary,male,2739
2020,  Lorry/Pickup Only,Pre-Primary,male,107
2020,  Motorcycle/Scooter Only,Pre-Primary,male,51
2020,  Others,Pre-Primary,male,521
2020,  No Transport Required,Pre-Primary,male,14446
2020,  Public Bus Only,Primary,male,19403
2020,  MRT/LRT Only,Primary,male,1999
2020,  MRT/LRT & Public Bus Only,Primary,male,3518
2020,  Other combinations of MRT/LRT or Public Bus,Primary,male,1608
2020,  Taxi/Private Hire Car Only,Primary,male,864
2020,  Car Only,Primary,male,26411
2020,  Private Chartered Bus/Van Only,Primary,male,17184
2020,  Lorry/Pickup Only,Primary,male,226
2020,  Motorcycle/Scooter Only,Primary,male,291
2020,  Others,Primary,male,1592
2020,  No Transport Required,Primary,male,52721
2020,  Public Bus Only,Secondary,male,32945
2020,  MRT/LRT Only,Secondary,male,6591
2020,  MRT/LRT & Public Bus Only,Secondary,male,19519
2020,  Other combinations of MRT/LRT or Public Bus,Secondary,male,3032
2020,  Taxi/Private Hire Car Only,Secondary,male,410
2020,  Car Only,Secondary,male,10128
2020,  Private Chartered Bus/Van Only,Secondary,male,2007
2020,  Lorry/Pickup Only,Secondary,male,105
2020,  Motorcycle/Scooter Only,Secondary,male,126
2020,  Others,Secondary,male,696
2020,  No Transport Required,Secondary,male,12741
2020,  Public Bus Only,Post-Secondary (Non-tertiary),male,8219
2020,  MRT/LRT Only,Post-Secondary (Non-tertiary),male,3287
2020,  MRT/LRT & Public Bus Only,Post-Secondary (Non-tertiary),male,13080
2020,  Other combinations of MRT/LRT or Public Bus,Post-Secondary (Non-tertiary),male,1333
2020,  Taxi/Private Hire Car Only,Post-Secondary (Non-tertiary),male,200
2020,  Car Only,Post-Secondary (Non-tertiary),male,1848
2020,  Private Chartered Bus/Van Only,Post-Secondary (Non-tertiary),male,203
2020,  Lorry/Pickup Only,Post-Secondary (Non-tertiary),male,0
2020,  Motorcycle/Scooter Only,Post-Secondary (Non-tertiary),male,503
2020,  Others,Post-Secondary (Non-tertiary),male,128
2020,  No Transport Required,Post-Secondary (Non-tertiary),male,1117
2020,  Public Bus Only,Polytechnic,male,8696
2020,  MRT/LRT Only,Polytechnic,male,6207
2020,  MRT/LRT & Public Bus Only,Polytechnic,male,18388
2020,  Other combinations of MRT/LRT or Public Bus,Polytechnic,male,1321
2020,  Taxi/Private Hire Car Only,Polytechnic,male,55
2020,  Car Only,Polytechnic,male,740
2020,  Private Chartered Bus/Van Only,Polytechnic,male,41
2020,  Lorry/Pickup Only,Polytechnic,male,17
2020,  Motorcycle/Scooter Only,Polytechnic,male,627
2020,  Others,Polytechnic,male,90
2020,  No Transport Required,Polytechnic,male,1599
2020,  Public Bus Only,Professional Qualification And Other Diploma,male,1142
2020,  MRT/LRT Only,Professional Qualification And Other Diploma,male,648
2020,  MRT/LRT & Public Bus Only,Professional Qualification And Other Diploma,male,2623
2020,  Other combinations of MRT/LRT or Public Bus,Professional Qualification And Other Diploma,male,200
2020,  Taxi/Private Hire Car Only,Professional Qualification And Other Diploma,male,23
2020,  Car Only,Professional Qualification And Other Diploma,male,132
2020,  Private Chartered Bus/Van Only,Professional Qualification And Other Diploma,male,7
2020,  Lorry/Pickup Only,Professional Qualification And Other Diploma,male,0
2020,  Motorcycle/Scooter Only,Professional Qualification And Other Diploma,male,110
2020,  Others,Professional Qualification And Other Diploma,male,12
2020,  No Transport Required,Professional Qualification And Other Diploma,male,347
2020,  Public Bus Only,University,male,5842
2020,  MRT/LRT Only,University,male,7160
2020,  MRT/LRT & Public Bus Only,University,male,22849
2020,  Other combinations of MRT/LRT or Public Bus,University,male,1556
2020,  Taxi/Private Hire Car Only,University,male,421
2020,  Car Only,University,male,2394
2020,  Private Chartered Bus/Van Only,University,male,155
2020,  Lorry/Pickup Only,University,male,0
2020,  Motorcycle/Scooter Only,University,male,875
2020,  Others,University,male,181
2020,  No Transport Required,University,male,4173
2010,  Public Bus Only,Pre-Primary,all,3550
2010,  MRT/LRT Only,Pre-Primary,all,302
2010,  MRT/LRT & Public Bus Only,Pre-Primary,all,475
2010,  Other combinations of MRT/LRT or Public Bus,Pre-Primary,all,90
2010,  Taxi/Private Hire Car Only,Pre-Primary,all,200
2010,  Car Only,Pre-Primary,all,11123
2010,  Private Chartered Bus/Van Only,Pre-Primary,all,11094
2010,  Lorry/Pickup Only,Pre-Primary,all,264
2010,  Motorcycle/Scooter Only,Pre-Primary,all,34
2010,  Others,Pre-Primary,all,2467
2010,  No Transport Required,Pre-Primary,all,31747
2010,  Public Bus Only,Primary,all,34337
2010,  MRT/LRT Only,Primary,all,2135
2010,  MRT/LRT & Public Bus Only,Primary,all,3616
2010,  Other combinations of MRT/LRT or Public Bus,Primary,all,430
2010,  Taxi/Private Hire Car Only,Primary,all,593
2010,  Car Only,Primary,all,37920
2010,  Private Chartered Bus/Van Only,Primary,all,58340
2010,  Lorry/Pickup Only,Primary,all,971
2010,  Motorcycle/Scooter Only,Primary,all,630
2010,  Others,Primary,all,16007
2010,  No Transport Required,Primary,all,126571
2010,  Public Bus Only,Secondary,all,97629
2010,  MRT/LRT Only,Secondary,all,12322
2010,  MRT/LRT & Public Bus Only,Secondary,all,28243
2010,  Other combinations of MRT/LRT or Public Bus,Secondary,all,1870
2010,  Taxi/Private Hire Car Only,Secondary,all,574
2010,  Car Only,Secondary,all,27131
2010,  Private Chartered Bus/Van Only,Secondary,all,4618
2010,  Lorry/Pickup Only,Secondary,all,911
2010,  Motorcycle/Scooter Only,Secondary,all,474
2010,  Others,Secondary,all,15847
2010,  No Transport Required,Secondary,all,42069
2010,  Public Bus Only,Post-Secondary (Non-tertiary),all,21249
2010,  MRT/LRT Only,Post-Secondary (Non-tertiary),all,5968
2010,  MRT/LRT & Public Bus Only,Post-Secondary (Non-tertiary),all,16236
2010,  Other combinations of MRT/LRT or Public Bus,Post-Secondary (Non-tertiary),all,590
2010,  Taxi/Private Hire Car Only,Post-Secondary (Non-tertiary),all,114
2010,  Car Only,Post-Secondary (Non-tertiary),all,5606
2010,  Private Chartered Bus/Van Only,Post-Secondary (Non-tertiary),all,340
2010,  Lorry/Pickup Only,Post-Secondary (Non-tertiary),all,68
2010,  Motorcycle/Scooter Only,Post-Secondary (Non-tertiary),all,439
2010,  Others,Post-Secondary (Non-tertiary),all,3153
2010,  No Transport Required,Post-Secondary (Non-tertiary),all,1997
2010,  Public Bus Only,Polytechnic,all,29596
