year,mode_of_transport,education_level,sex,count
2020,[Public] Bus,4-Post-Secondary,female,6323
2020,[Public] MRT/LRT,4-Post-Secondary,female,2968
2020,[Public] MRT/LRT & Bus,4-Post-Secondary,female,11826
2020,[Public] Other combinations,4-Post-Secondary,female,1540
2020,[Private] Taxi/Hire Car,4-Post-Secondary,female,82
2020,[Private] Car,4-Post-Secondary,female,2547
2020,[Private] School Bus/Van,4-Post-Secondary,female,258
2020,Others,4-Post-Secondary,female,0
2020,Others,4-Post-Secondary,female,11
2020,Others,4-Post-Secondary,female,62
2020,No Transport Required,4-Post-Secondary,female,824
2020,[Public] Bus,4-Post-Secondary,female,8933
2020,[Public] MRT/LRT,4-Post-Secondary,female,5037
2020,[Public] MRT/LRT & Bus,4-Post-Secondary,female,17702
2020,[Public] Other combinations,4-Post-Secondary,female,1193
2020,[Private] Taxi/Hire Car,4-Post-Secondary,female,67
2020,[Private] Car,4-Post-Secondary,female,501
2020,[Private] School Bus/Van,4-Post-Secondary,female,34
2020,Others,4-Post-Secondary,female,17
2020,Others,4-Post-Secondary,female,103
2020,Others,4-Post-Secondary,female,41
2020,No Transport Required,4-Post-Secondary,female,1199
2020,[Public] Bus,4-Post-Secondary,female,1148
2020,[Public] MRT/LRT,4-Post-Secondary,female,1086
2020,[Public] MRT/LRT & Bus,4-Post-Secondary,female,2939
2020,[Public] Other combinations,4-Post-Secondary,female,173
2020,[Private] Taxi/Hire Car,4-Post-Secondary,female,68
2020,[Private] Car,4-Post-Secondary,female,176
2020,[Private] School Bus/Van,4-Post-Secondary,female,9
2020,Others,4-Post-Secondary,female,13
2020,Others,4-Post-Secondary,female,14
2020,Others,4-Post-Secondary,female,10
2020,No Transport Required,4-Post-Secondary,female,498
2020,[Public] Bus,5-University,female,7966
2020,[Public] MRT/LRT,5-University,female,7677
2020,[Public] MRT/LRT & Bus,5-University,female,28220
2020,[Public] Other combinations,5-University,female,2172
2020,[Private] Taxi/Hire Car,5-University,female,429
2020,[Private] Car,5-University,female,2543
2020,[Private] School Bus/Van,5-University,female,128
2020,Others,5-University,female,0
2020,Others,5-University,female,34
2020,Others,5-University,female,151
2020,No Transport Required,5-University,female,4919
2020,[Public] Bus,1-Pre-Primary,male,3167
2020,[Public] MRT/LRT,1-Pre-Primary,male,315
2020,[Public] MRT/LRT & Bus,1-Pre-Primary,male,575
2020,[Public] Other combinations,1-Pre-Primary,male,245
2020,[Private] Taxi/Hire Car,1-Pre-Primary,male,366
2020,[Private] Car,1-Pre-Primary,male,6340
2020,[Private] School Bus/Van,1-Pre-Primary,male,2739
2020,Others,1-Pre-Primary,male,107
2020,Others,1-Pre-Primary,male,51
2020,Others,1-Pre-Primary,male,521
2020,No Transport Required,1-Pre-Primary,male,14446
2020,[Public] Bus,2-Primary,male,19403
2020,[Public] MRT/LRT,2-Primary,male,1999
2020,[Public] MRT/LRT & Bus,2-Primary,male,3518
2020,[Public] Other combinations,2-Primary,male,1608
2020,[Private] Taxi/Hire Car,2-Primary,male,864
2020,[Private] Car,2-Primary,male,26411
2020,[Private] School Bus/Van,2-Primary,male,17184
2020,Others,2-Primary,male,226
2020,Others,2-Primary,male,291
2020,Others,2-Primary,male,1592
2020,No Transport Required,2-Primary,male,52721
2020,[Public] Bus,3-Secondary,male,32945
2020,[Public] MRT/LRT,3-Secondary,male,6591
2020,[Public] MRT/LRT & Bus,3-Secondary,male,19519
2020,[Public] Other combinations,3-Secondary,male,3032
2020,[Private] Taxi/Hire Car,3-Secondary,male,410
2020,[Private] Car,3-Secondary,male,10128
2020,[Private] School Bus/Van,3-Secondary,male,2007
2020,Others,3-Secondary,male,105
2020,Others,3-Secondary,male,126
2020,Others,3-Secondary,male,696
2020,No Transport Required,3-Secondary,male,12741
2020,[Public] Bus,4-Post-Secondary,male,8219
2020,[Public] MRT/LRT,4-Post-Secondary,male,3287
2020,[Public] MRT/LRT & Bus,4-Post-Secondary,male,13080
2020,[Public] Other combinations,4-Post-Secondary,male,1333
2020,[Private] Taxi/Hire Car,4-Post-Secondary,male,200
2020,[Private] Car,4-Post-Secondary,male,1848
2020,[Private] School Bus/Van,4-Post-Secondary,male,203
2020,Others,4-Post-Secondary,male,0
2020,Others,4-Post-Secondary,male,503
2020,Others,4-Post-Secondary,male,128
2020,No Transport Required,4-Post-Secondary,male,1117
2020,[Public] Bus,4-Post-Secondary,male,8696
2020,[Public] MRT/LRT,4-Post-Secondary,male,6207
2020,[Public] MRT/LRT & Bus,4-Post-Secondary,male,18388
2020,[Public] Other combinations,4-Post-Secondary,male,1321
2020,[Private] Taxi/Hire Car,4-Post-Secondary,male,55
2020,[Private] Car,4-Post-Secondary,male,740
2020,[Private] School Bus/Van,4-Post-Secondary,male,41
2020,Others,4-Post-Secondary,male,17
2020,Others,4-Post-Secondary,male,627
2020,Others,4-Post-Secondary,male,90
2020,No Transport Required,4-Post-Secondary,male,1599
2020,[Public] Bus,4-Post-Secondary,male,1142
2020,[Public] MRT/LRT,4-Post-Secondary,male,648
2020,[Public] MRT/LRT & Bus,4-Post-Secondary,male,2623
2020,[Public] Other combinations,4-Post-Secondary,male,200
2020,[Private] Taxi/Hire Car,4-Post-Secondary,male,23
2020,[Private] Car,4-Post-Secondary,male,132
2020,[Private] School Bus/Van,4-Post-Secondary,male,7
2020,Others,4-Post-Secondary,male,0
2020,Others,4-Post-Secondary,male,110
2020,Others,4-Post-Secondary,male,12
2020,No Transport Required,4-Post-Secondary,male,347
2020,[Public] Bus,5-University,male,5842
2020,[Public] MRT/LRT,5-University,male,7160
2020,[Public] MRT/LRT & Bus,5-University,male,22849
2020,[Public] Other combinations,5-University,male,1556
2020,[Private] Taxi/Hire Car,5-University,male,421
2020,[Private] Car,5-University,male,2394
2020,[Private] School Bus/Van,5-University,male,155
2020,Others,5-University,male,0
2020,Others,5-University,male,875
2020,Others,5-University,male,181
2020,No Transport Required,5-University,male,4173
2010,[Public] Bus,1-Pre-Primary,all,3550
2010,[Public] MRT/LRT,1-Pre-Primary,all,302
2010,[Public] MRT/LRT & Bus,1-Pre-Primary,all,475
2010,[Public] Other combinations,1-Pre-Primary,all,90
2010,[Private] Taxi/Hire Car,1-Pre-Primary,all,200
2010,[Private] Car,1-Pre-Primary,all,11123
2010,[Private] School Bus/Van,1-Pre-Primary,all,11094
2010,Others,1-Pre-Primary,all,264
2010,Others,1-Pre-Primary,all,34
2010,Others,1-Pre-Primary,all,2467
2010,No Transport Required,1-Pre-Primary,all,31747
2010,[Public] Bus,2-Primary,all,34337
2010,[Public] MRT/LRT,2-Primary,all,2135
2010,[Public] MRT/LRT & Bus,2-Primary,all,3616
2010,[Public] Other combinations,2-Primary,all,430
2010,[Private] Taxi/Hire Car,2-Primary,all,593
2010,[Private] Car,2-Primary,all,37920
2010,[Private] School Bus/Van,2-Primary,all,58340
2010,Others,2-Primary,all,971
2010,Others,2-Primary,all,630
2010,Others,2-Primary,all,16007
2010,No Transport Required,2-Primary,all,126571
2010,[Public] Bus,3-Secondary,all,97629
2010,[Public] MRT/LRT,3-Secondary,all,12322
2010,[Public] MRT/LRT & Bus,3-Secondary,all,28243
2010,[Public] Other combinations,3-Secondary,all,1870
2010,[Private] Taxi/Hire Car,3-Secondary,all,574
2010,[Private] Car,3-Secondary,all,27131
2010,[Private] School Bus/Van,3-Secondary,all,4618
2010,Others,3-Secondary,all,911
2010,Others,3-Secondary,all,474
2010,Others,3-Secondary,all,15847
2010,No Transport Required,3-Secondary,all,42069
2010,[Public] Bus,4-Post-Secondary,all,21249
2010,[Public] MRT/LRT,4-Post-Secondary,all,5968
2010,[Public] MRT/LRT & Bus,4-Post-Secondary,all,16236
2010,[Public] Other combinations,4-Post-Secondary,all,590
2010,[Private] Taxi/Hire Car,4-Post-Secondary,all,114
2010,[Private] Car,4-Post-Secondary,all,5606
2010,[Private] School Bus/Van,4-Post-Secondary,all,340
2010,Others,4-Post-Secondary,all,68
2010,Others,4-Post-Secondary,all,439
2010,Others,4-Post-Secondary,all,3153
2010,No Transport Required,4-Post-Secondary,all,1997
2010,[Public] Bus,4-Post-Secondary,all,29596
2010,[Public] MRT/LRT,4-Post-Secondary,all,14357
2010,[Public] MRT/LRT & Bus,4-Post-Secondary,all,27332
2010,[Public] Other combinations,4-Post-Secondary,all,1142
2010,[Private] Taxi/Hire Car,4-Post-Secondary,all,60
2010,[Private] Car,4-Post-Secondary,all,1353
2010,[Private] School Bus/Van,4-Post-Secondary,all,165
2010,Others,4-Post-Secondary,all,25
2010,Others,4-Post-Secondary,all,1044
2010,Others,4-Post-Secondary,all,2652
2010,No Transport Required,4-Post-Secondary,all,1852
2010,[Public] Bus,4-Post-Secondary,all,4156
2010,[Public] MRT/LRT,4-Post-Secondary,all,2998
2010,[Public] MRT/LRT & Bus,4-Post-Secondary,all,5649
2010,[Public] Other combinations,4-Post-Secondary,all,217
2010,[Private] Taxi/Hire Car,4-Post-Secondary,all,38
2010,[Private] Car,4-Post-Secondary,all,534
2010,[Private] School Bus/Van,4-Post-Secondary,all,59
2010,Others,4-Post-Secondary,all,0
2010,Others,4-Post-Secondary,all,279
2010,Others,4-Post-Secondary,all,479
2010,No Transport Required,4-Post-Secondary,all,390
2010,[Public] Bus,5-University,all,16740
2010,[Public] MRT/LRT,5-University,all,7369
2010,[Public] MRT/LRT & Bus,5-University,all,29380
2010,[Public] Other combinations,5-University,all,854
2010,[Private] Taxi/Hire Car,5-University,all,201
2010,[Private] Car,5-University,all,5716
2010,[Private] School Bus/Van,5-University,all,181
2010,Others,5-University,all,18
2010,Others,5-University,all,685
2010,Others,5-University,all,3635
2010,No Transport Required,5-University,all,2611
